Category,Rank,Username,Topmate URL,,Category Metric,User ID,Profile Pic URL,Full Name,Short Bio
Minutes,6,jagan_coach,https://topmate.io/jagan_coach,"'jagan_coach',","30,390",315260,https://static.topmate.io/eWXTPZEVnd1JD99ZDZMiTQ.png,Jagan S,"Ex-CTO / ICF ACC / Executive, Leadership & Career Coach / Mentor"
Minutes,7,mohan_b,https://topmate.io/mohan_b,"'mohan_b',","27,720",432208,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_844781b6-4a7d-4937-8aaf-b030daca22db.jpeg,Mohan B,"Senior Data Analyst @ Mahindra & Mahindra | Power BI | SQL | Python | 3X Microsoft Certified (DP-900, PL-300, PL-900) | Helping Aspiring Analysts Land Top Jobs | Expert in Interview Prep, Resume Reviews & Career Transitions |"
Minutes,8,dr_simmi_roy_mishra,https://topmate.io/dr_simmi_roy_mishra,"'dr_simmi_roy_mishra',","26,040",86283,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Dr Simmi Roy-Mishra-1687264014.jpeg,Dr Simmi Roy Mishra,Doctor| PCC-ICF| Mindset Coach|
Minutes,9,kavach_khanna01,https://topmate.io/kavach_khanna01,"'kavach_khanna01',","25,905",44990,https://static.topmate.io/eDjrekgQPAyEoXS6UgGVSs.JPG,Kavach Khanna,Mentor You Always Needed
Minutes,10,harry_singh12,https://topmate.io/harry_singh12,"'harry_singh12',","25,480",231234,https://static.topmate.io/uoEhpSSs52TqJb262PToCT.jpeg,Harry Singh,Professional Visa Consultation
Minutes,11,iamparagjain,https://topmate.io/iamparagjain,"'iamparagjain',","24,585",95258,https://topmate-staging.s3.amazonaws.com/5nQ6zorMYyF4orMaUjh2jo.png,Parag Jain,"PM Interview Coach | 1100+ FAANG & Bigtech Mentees | 10+ YOE Product & Growth | Coach - Upgrad & Mesa School of Business | Creator - Product Interview Playbook - Crack PM Interview in 1 Week | Ex - Good Glamm Group, Bewakoof, Amoni."
Minutes,12,witblox,https://topmate.io/witblox,"'witblox',","24,555",39836,https://static.topmate.io/17y75xGE3sfb8Lu1xT2nZK.png,Witblox Team,"Can solve any doubts regarding Arduino, AI Electronics and many other DIY projects"
Minutes,13,mitravranda,https://topmate.io/mitravranda,"'mitravranda',","23,850",143658,https://static.topmate.io/ffFnaqcxA8a52ZenSiwomg.jpg,Mitravranda Ranga,"Counselling Psychologist/Psychotherapist, Former Research Intern at Defence Institute of Psychological Research (DIPR, DRDO) | NLP Practitioner"
Minutes,14,gabhru_in_uk,https://topmate.io/gabhru_in_uk,"'gabhru_in_uk',","23,820",175760,https://static.topmate.io/qqCPk9dk91jTd55tkMj2hf.jpg,Harjeet Singh,gabhru in uk
Minutes,15,suresh_kumar93,https://topmate.io/suresh_kumar93,"'suresh_kumar93',","23,700",1016109,https://topmate-staging.s3.amazonaws.com/aFxWCksbxX6tS9faN51Aqt.JPG,Suresh kumar,"Hellow Everyone My name is Suresh. 

I have 6 years of experience in the capital markets, and over the years, I’ve been able to successfully generate consistent profits using a set of well-tested strategies .

Let’s grow together!"
Minutes,16,anand_narayandas,https://topmate.io/anand_narayandas,"'anand_narayandas',","23,030",7907,https://static.topmate.io/rvgFHfCu6Gj22Ceq6H8bpS.jpeg,Anand Narayandas,"Product Management, Career & Leadership Coach | Ex-Amazon, BCG, IIM-A (Rank 5), BITS-Pilani | 1000+ sessions, 240+ Reviews, Rated 5/5, Among Top 100 mentors globally | Ex-Product Director | ICF-ACC Trained"
Minutes,17,ajay_kadiyala,https://topmate.io/ajay_kadiyala,"'ajay_kadiyala',","22,620",17047,https://static.topmate.io/95EcRJVWcN21fV2Vb22Wzf.jfif,kadiyala ajay,Hey There! This is Ajay Kadiyala. I help people to crack top Product based Companies.
Minutes,18,qabytopmate,https://topmate.io/qabytopmate,"'qabytopmate',","21,755",13586,https://static.topmate.io/teYrUZmVeLZhSYL1D2LkXb.jpeg,Topmate QA,Quality engineer
Minutes,19,priyasha_crackxat,https://topmate.io/priyasha_crackxat,"'priyasha_crackxat',","21,740",383551,https://topmate-staging.s3.amazonaws.com/nJpNcyqU1EWG7NhQ2mm4LX.jpeg,Priyasha Das,Founder- CRACK XAT| GDPI Specialist | Interview Guidance| Dean's Merit | List Your Go-To-Girl for queries related to Careers | MBA | Jobs | Internships | Preparation Strategy
Minutes,20,dr_naveen_nagarajan,https://topmate.io/dr_naveen_nagarajan,"'dr_naveen_nagarajan',","21,640",383635,https://topmate-staging.s3.amazonaws.com/kZSVFyopzVCERtaM4iJSSA.png,Naveen Nagarajan,"Offering evidence-based skin & hair care consultations. Get personalized advice on skin care routines, dandruff and hair loss prevention using proven scientific solutions."
Minutes,21,anushka_mendonce,https://topmate.io/anushka_mendonce,"'anushka_mendonce',","21,210",162934,https://static.topmate.io/xgMQaRkNwx2ho8sAFLuoya.jpeg,Anushka Mendonce,Therapist / Counsellor
Minutes,22,aparna_debnath,https://topmate.io/aparna_debnath,"'aparna_debnath',","20,885",96276,https://static.topmate.io/7CFx9YoRYZFBRXHHpmR66d.jpeg,Aparna Debnath,Assistant Vice President at Barclays | Ex-JP Morgan | Product Owner | Lead Business Analyst | Career Coach | Finance | 170k Followers on LinkedIn!
Minutes,23,sourav_tiwary,https://topmate.io/sourav_tiwary,"'sourav_tiwary',","20,785",156168,https://static.topmate.io/5MgUhGecFwPfWozMyoWUFw.jpeg,Sourav Tiwary,"I was once 145 kilos — bullied, ashamed, and lost. But that pain became purpose. I dropped 60+ kilos and built Fitshala — a space to heal, not hustle.We don’t do diets or dumb rules. We do habits, healing & hugs (with a lil push 😄)."
Minutes,24,mbawidabhishek,https://topmate.io/mbawidabhishek,"'mbawidabhishek',","19,200",88114,https://topmate-staging.s3.ap-south-1.amazonaws.com/nekVzYLNPk5qmvrZ92mub2.jpeg,Abhishek Srivastava,"NOTE: If you're not prepared to confront some tough realities, kindly avoid scheduling this session | Everything MBA - in the MOST simplest way. | How to get Jobs | Profile Building | MBA - Colleges, Entrance Preparation | Career"
Minutes,25,sahaja_madhuri,https://topmate.io/sahaja_madhuri,"'sahaja_madhuri',","19,140",202339,https://static.topmate.io/vwuzRkEAk6MJDHNQzGJ5zd.JPG,Sahaja Madhuri,"Empowering your journey towards growth, balance, and fulfillment

Internationally Accredited Life Coach
Motivator | Creator | Entrepreneur"
Most Testimonials,1,priyasha_crackxat,https://topmate.io/priyasha_crackxat,"'priyasha_crackxat',",994,383551,https://topmate-staging.s3.amazonaws.com/nJpNcyqU1EWG7NhQ2mm4LX.jpeg,Priyasha Das,Founder- CRACK XAT| GDPI Specialist | Interview Guidance| Dean's Merit | List Your Go-To-Girl for queries related to Careers | MBA | Jobs | Internships | Preparation Strategy
Most Testimonials,2,dataengineering,https://topmate.io/dataengineering,"'dataengineering',",879,92292,https://static.topmate.io/qsbZkmuK39pi1XoKD2VF36.JPG,Gowtham SB,Data Engineer | PayPal | YouTuber 290K | Talks Facts Only
Most Testimonials,3,ajay_shenoy,https://topmate.io/ajay_shenoy,"'ajay_shenoy',",655,61820,https://static.topmate.io/7Jn6xiUrQsncihaSqFGp6J.png,Ajay Shenoy,14+ yrs in AI/ML: Industry + IISc PhD | Harman | Target | NITK
Most Testimonials,4,codtech_it_solutions,https://topmate.io/codtech_it_solutions,"'codtech_it_solutions',",636,314224,https://static.topmate.io/odFwGNzHETa9MosE4BYiDC.jpeg,CODTECH IT SOLUTIONS,Improving Tech Skills 24/7
Most Testimonials,5,krishankumar,https://topmate.io/krishankumar,"'krishankumar',",608,352593,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_d47f74db-b2a3-45ec-801f-5604a5221b5b.jpeg,Krishan Kumar,130K+ Linkedin | Software Engineer
Most Testimonials,6,nitinjadhav,https://topmate.io/nitinjadhav,"'nitinjadhav',",601,23003,https://static.topmate.io/oBuhcuDRaWb4sjefXHGaRx.png,Nitin Jadhav,"ENO, CFO @CS (UBS) | Investment Banking | HSBC | Oxford | SEBI (NISM) & NSE Certified | Google Certified Data Analytics Professional | Top 0.1% Mentor @Topmate | Featured on Times Square, NYC"
Most Testimonials,7,careerwithankita,https://topmate.io/careerwithankita,"'careerwithankita',",582,114514,https://static.topmate.io/xhawk2FdFNpAxcSf3XzaZJ.JPG,Ankita Jaiswal,"9+ Years of Industry Experience | Top Mentor | Flipkart, Tata Steel, MPL, Capgemini | 255k+ Instagram"
Most Testimonials,8,ayushi_mishra,https://topmate.io/ayushi_mishra,"'ayushi_mishra',",557,33373,https://static.topmate.io/rgkfvvHkqFZFufW3SpzbeZ.png,Ayushi Mishra,4+ Years Experienced Data Scientist | Provide Guidance for Data Science | Data Analysis | Mentor | YouTuber
